N_wppm,region,cooling,classC_index,classA_index,waste_class,C14_Ci_m3,Nb94_Ci_m3,Ni63_Ci_m3,Mn53_Ci_m3,Zr93_Ci_m3,top_classC
10,FW,shutdown,0.06319840900287478,1.8322336745728427,Class C,0.17332771348449272,0.01165681957060176,3.517387449592594,1.0239092642374145e-09,0.0002703459906528356,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.001
10,FW,1d,0.0632013374624947,1.8322437931402977,Class C,0.17332765577741432,0.011656876661888032,3.517321491607733,1.023909400442933e-09,0.00027034601821099074,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.001
10,FW,1wk,0.06320868230500643,1.832202252387328,Class C,0.1733273095353459,0.0116568701234695,3.516925766607064,1.0239093972919441e-09,0.0002703460229614499,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.001
10,FW,1mo,0.06321041983368487,1.8317789607645794,Class C,0.17332598228049179,0.011656845059565697,3.5154092331744358,1.0239093852131577e-09,0.00027034601524938176,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.001
10,FW,1yr,0.063205202027418,1.825326021778321,Class C,0.17330663725203355,0.011656479732041808,3.4933782005590897,1.0239092091517267e-09,0.0002703459028321917,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.000
10,FW,10yr,0.06315500812135089,1.7642298587337513,Class C,0.1731170664493716,0.01165289816729906,3.284537093665385,1.0239074828059947e-09,0.0002703448005426217,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.000
10,FW,100yr,0.06273599064558945,1.324572916119344,Class C,0.1712327259503552,0.011617142989963275,1.773208570210855,1.02389021950875e-09,0.00027033377789410643,Nb94:0.058;C14:0.002;Tc99:0.002;Ni63:0.000
10,FW,1000yr,0.060495843640642186,0.7786851243704425,Class A,0.15348135829572004,0.011265570030682764,0.0037292056120844927,1.0237176025439378e-09,0.0002702235761241173,Nb94:0.056;Tc99:0.002;C14:0.002;Ni59:0.000
10,BLK_front,shutdown,0.12458340242410407,2.2985554237223482,Class C,0.19352298698847137,0.023932880646257506,2.928207806145859,7.321202072621432e-10,0.00019484720244019652,Nb94:0.120;C14:0.002;Tc99:0.002;Ni63:0.000
10,BLK_front,1d,0.12458654142285337,2.298570962374559,Class C,0.19352292255765446,0.023933012783439282,2.9281528963007815,7.32120246495406e-10,0.0001948472183527503,Nb94:0.120;C14:0.002;Tc99:0.002;Ni63:0.000
10,BLK_front,1wk,0.12459339489160248,2.2985443949542446,Class C,0.19352253597320154,0.02393299935925552,2.9278234571779675,7.321202442423719e-10,0.0001948472208191058,Nb94:0.120;C14:0.002;Tc99:0.002;Ni63:0.000
10,BLK_front,1mo,0.12459490353968374,2.298195024672242,Class C,0.19352105407328676,0.023932947899954066,2.9265609505308814,7.321202356057452e-10,0.0001948472152607129,Nb94:0.120;C14:0.002;Tc99:0.002;Ni63:0.000
10,BLK_front,1yr,0.1245882616675131,2.292834450882183,Class C,0.1934994550593991,0.023932197837261228,2.9082202238969757,7.321201097175185e-10,0.00019484713423796726,Nb94:0.120;C14:0.002;Tc99:0.002;Ni63:0.000
10,BLK_front,10yr,0.12452393932643337,2.242040487401919,Class C,0.19328779642016933,0.023924844440870507,2.7343610263580147,7.321188753381264e-10,0.00019484633978182205,Nb94:0.120;C14:0.002;Tc99:0.002;Ni63:0.000
10,BLK_front,100yr,0.12395014431971729,1.8744728495407386,Class C,0.19118390204262292,0.02385143462955721,1.4761874406410749,7.321065316586669e-10,0.00019483839539852484,Nb94:0.119;C14:0.002;Tc99:0.002;Ni63:0.000
